complaint_id,customer_id,complaint_date,category,title,priority,status
CP000001,C000568,2025-11-17,SIM,SIM replacement request,CRITICAL,OPEN
CP000002,C000894,2026-05-26,OTHER,Service related issue,HIGH,OPEN
CP000003,C000681,2026-05-09,NETWORK,Network issue,LOW,IN_PROGRESS
CP000004,C000790,2026-06-07,BILLING,Incorrect bill amount,HIGH,IN_PROGRESS
CP000005,C000545,2026-06-17,BILLING,Billing issue,MEDIUM,IN_PROGRESS
CP000006,C000282,2025-11-11,NETWORK,Network issue,LOW,IN_PROGRESS
CP000007,C000530,2026-09-15,NETWORK,Slow internet,MEDIUM,CLOSED
CP000008,C000889,2026-08-24,SIM,SIM not working,CRITICAL,OPEN
CP000009,C000336,2026-01-08,RECHARGE,Recharge amount not reflected,MEDIUM,RESOLVED
CP000010,C000318,2025-12-04,NETWORK,Poor network coverage,MEDIUM,CLOSED
CP000011,C000350,2026-01-12,NETWORK,Network issue,MEDIUM,OPEN
CP000012,C000563,2026-08-08,PLAN,Plan related query,MEDIUM,IN_PROGRESS
CP000013,C000864,2026-02-26,RECHARGE,Recharge failed,LOW,IN_PROGRESS
CP000014,C000863,2026-04-17,SIM,SIM activation issue,HIGH,CLOSED
CP000015,C000141,2026-04-13,RECHARGE,Recharge failed,CRITICAL,OPEN
CP000016,C000644,2025-10-07,OTHER,Other issue,HIGH,CLOSED
CP000017,C000003,2025-10-20,OTHER,General complaint,HIGH,IN_PROGRESS
CP000018,C000644,2026-01-02,OTHER,General complaint,HIGH,OPEN
CP000019,C000871,2026-01-26,SIM,SIM not working,CRITICAL,OPEN
CP000020,C000784,2025-12-17,RECHARGE,Recharge amount not reflected,MEDIUM,CLOSED
CP000021,C000923,2026-07-26,OTHER,Service related issue,HIGH,OPEN
CP000022,C000883,2026-04-13,PLAN,Plan activation issue,MEDIUM,IN_PROGRESS
CP000023,C000406,2026-01-12,BILLING,Incorrect bill amount,MEDIUM,OPEN
CP000024,C000094,2025-09-30,PLAN,Plan benefits not received,CRITICAL,IN_PROGRESS
CP000025,C000970,2026-06-21,BILLING,Incorrect bill amount,LOW,CLOSED
CP000026,C000137,2026-08-10,PLAN,Plan benefits not received,CRITICAL,CLOSED
CP000027,C000339,2026-03-29,NETWORK,Internet not working,MEDIUM,RESOLVED
CP000028,C000474,2026-03-05,BILLING,Unexpected charge,LOW,RESOLVED
CP000029,C000424,2026-09-05,NETWORK,Poor network coverage,MEDIUM,OPEN
CP000030,C000272,2026-06-05,BILLING,Unexpected charge,MEDIUM,CLOSED
CP000031,C000777,2026-07-07,SIM,SIM activation issue,HIGH,OPEN
CP000032,C000657,2026-03-08,RECHARGE,Recharge amount not reflected,CRITICAL,IN_PROGRESS
CP000033,C000637,2025-12-29,NETWORK,Network issue,CRITICAL,CLOSED
CP000034,C000088,2026-07-19,RECHARGE,Recharge issue,HIGH,RESOLVED
CP000035,C000746,2026-01-12,RECHARGE,Recharge amount not reflected,MEDIUM,RESOLVED
CP000036,C000542,2026-02-01,OTHER,General complaint,CRITICAL,IN_PROGRESS
CP000037,C000675,2026-06-18,BILLING,Incorrect bill amount,MEDIUM,IN_PROGRESS
CP000038,C000843,2026-01-15,BILLING,Incorrect bill amount,CRITICAL,CLOSED
CP000039,C000461,2025-12-08,SIM,SIM replacement request,CRITICAL,RESOLVED
CP000040,C000917,2026-09-08,OTHER,Service related issue,MEDIUM,CLOSED
CP000041,C000377,2026-06-08,OTHER,General complaint,LOW,IN_PROGRESS
CP000042,C000039,2025-10-02,SIM,SIM replacement request,MEDIUM,CLOSED
CP000043,C000204,2026-07-25,BILLING,Billing issue,MEDIUM,IN_PROGRESS
CP000044,C000419,2026-04-09,OTHER,General complaint,LOW,RESOLVED
CP000045,C000055,2025-11-09,OTHER,Service related issue,MEDIUM,CLOSED
CP000046,C000113,2026-08-06,NETWORK,Slow internet,HIGH,RESOLVED
CP000047,C000348,2025-12-02,NETWORK,Network issue,LOW,RESOLVED
CP000048,C000332,2026-05-14,SIM,SIM replacement request,HIGH,RESOLVED
CP000049,C000643,2026-09-20,NETWORK,Poor network coverage,CRITICAL,OPEN
CP000050,C000438,2026-09-22,BILLING,Billing issue,LOW,CLOSED
CP000051,C000956,2026-08-21,OTHER,Service related issue,MEDIUM,IN_PROGRESS
CP000052,C000439,2025-09-29,SIM,SIM activation issue,CRITICAL,RESOLVED
CP000053,C000618,2026-08-07,PLAN,Plan related query,HIGH,OPEN
CP000054,C000827,2026-09-15,SIM,SIM not working,LOW,CLOSED
CP000055,C000531,2025-11-23,BILLING,Unexpected charge,LOW,IN_PROGRESS
CP000056,C000146,2026-05-08,SIM,SIM replacement request,MEDIUM,IN_PROGRESS
CP000057,C000040,2026-05-29,BILLING,Billing issue,MEDIUM,RESOLVED
CP000058,C000766,2026-08-23,NETWORK,Poor network coverage,MEDIUM,OPEN
CP000059,C000663,2026-07-28,BILLING,Unexpected charge,MEDIUM,IN_PROGRESS
CP000060,C000130,2026-08-09,RECHARGE,Recharge amount not reflected,HIGH,CLOSED
CP000061,C000796,2025-12-05,SIM,SIM activation issue,MEDIUM,OPEN
CP000062,C000417,2026-08-27,NETWORK,Internet not working,MEDIUM,IN_PROGRESS
CP000063,C000175,2025-10-11,BILLING,Unexpected charge,MEDIUM,CLOSED
CP000064,C000077,2026-06-03,SIM,SIM not working,MEDIUM,RESOLVED
CP000065,C000308,2026-03-10,BILLING,Billing issue,LOW,CLOSED
CP000066,C000020,2026-05-30,SIM,SIM not working,HIGH,CLOSED
CP000067,C000436,2026-05-24,BILLING,Incorrect bill amount,MEDIUM,IN_PROGRESS
CP000068,C000938,2025-10-06,BILLING,Unexpected charge,CRITICAL,RESOLVED
CP000069,C000262,2026-04-11,NETWORK,Poor network coverage,MEDIUM,IN_PROGRESS
CP000070,C000356,2026-07-24,NETWORK,Internet not working,CRITICAL,RESOLVED
CP000071,C000113,2025-11-03,OTHER,Service related issue,LOW,IN_PROGRESS
CP000072,C000846,2026-05-15,SIM,SIM not working,LOW,IN_PROGRESS
CP000073,C000434,2026-03-24,SIM,SIM replacement request,LOW,RESOLVED
CP000074,C000619,2026-07-14,OTHER,General complaint,CRITICAL,OPEN
CP000075,C000263,2026-04-06,SIM,SIM activation issue,HIGH,IN_PROGRESS
CP000076,C000474,2025-10-21,RECHARGE,Recharge failed,CRITICAL,IN_PROGRESS
CP000077,C000845,2026-08-02,NETWORK,Internet not working,MEDIUM,OPEN
CP000078,C000892,2026-04-02,OTHER,Other issue,CRITICAL,RESOLVED
CP000079,C000957,2025-11-12,BILLING,Billing issue,MEDIUM,CLOSED
CP000080,C000870,2026-06-01,BILLING,Incorrect bill amount,LOW,OPEN
CP000081,C000889,2026-08-16,PLAN,Plan related query,CRITICAL,CLOSED
CP000082,C000421,2026-01-29,OTHER,Other issue,MEDIUM,OPEN
CP000083,C000263,2026-05-23,PLAN,Plan activation issue,HIGH,OPEN
CP000084,C000083,2025-12-24,NETWORK,Internet not working,HIGH,IN_PROGRESS
CP000085,C000741,2025-12-18,RECHARGE,Recharge failed,HIGH,OPEN
CP000086,C000080,2026-09-10,BILLING,Billing issue,MEDIUM,OPEN
CP000087,C000574,2026-08-10,OTHER,Other issue,MEDIUM,CLOSED
CP000088,C000462,2026-04-13,OTHER,Other issue,MEDIUM,RESOLVED
CP000089,C000467,2026-02-10,BILLING,Incorrect bill amount,MEDIUM,RESOLVED
CP000090,C000699,2025-11-03,BILLING,Billing issue,MEDIUM,RESOLVED
CP000091,C000972,2025-12-26,OTHER,Other issue,MEDIUM,OPEN
CP000092,C000299,2026-04-25,OTHER,Other issue,CRITICAL,CLOSED
CP000093,C000234,2026-05-24,OTHER,Other issue,HIGH,IN_PROGRESS
CP000094,C000058,2025-11-07,PLAN,Plan benefits not received,MEDIUM,IN_PROGRESS
CP000095,C000718,2026-07-12,NETWORK,Internet not working,MEDIUM,OPEN
CP000096,C000726,2026-03-29,BILLING,Incorrect bill amount,LOW,RESOLVED
CP000097,C000455,2025-12-18,OTHER,General complaint,HIGH,IN_PROGRESS
CP000098,C000294,2026-01-05,OTHER,Other issue,MEDIUM,RESOLVED
CP000099,C000730,2026-07-14,RECHARGE,Recharge issue,MEDIUM,OPEN
CP000100,C000711,2026-04-29,SIM,SIM not working,HIGH,CLOSED
CP000101,C000975,2026-04-02,BILLING,Unexpected charge,LOW,CLOSED
CP000102,C000183,2026-05-18,PLAN,Plan benefits not received,MEDIUM,OPEN
CP000103,C000454,2026-01-08,OTHER,General complaint,MEDIUM,CLOSED
CP000104,C000400,2026-06-17,SIM,SIM replacement request,MEDIUM,IN_PROGRESS
CP000105,C000108,2026-07-15,OTHER,General complaint,HIGH,IN_PROGRESS
CP000106,C000074,2025-10-29,NETWORK,Poor network coverage,MEDIUM,IN_PROGRESS
CP000107,C000685,2026-04-11,PLAN,Plan activation issue,HIGH,IN_PROGRESS
CP000108,C000340,2026-07-30,NETWORK,Slow internet,CRITICAL,CLOSED
CP000109,C000253,2026-01-13,NETWORK,Internet not working,HIGH,CLOSED
CP000110,C000032,2025-10-13,BILLING,Billing issue,MEDIUM,IN_PROGRESS
CP000111,C000062,2025-11-15,SIM,SIM replacement request,HIGH,RESOLVED
CP000112,C000735,2026-09-18,RECHARGE,Recharge failed,MEDIUM,RESOLVED
CP000113,C000798,2026-09-10,PLAN,Plan activation issue,HIGH,CLOSED
CP000114,C000816,2026-02-25,OTHER,Other issue,HIGH,RESOLVED
CP000115,C000266,2026-07-10,BILLING,Billing issue,LOW,CLOSED
CP000116,C000471,2026-05-23,BILLING,Incorrect bill amount,MEDIUM,RESOLVED
CP000117,C000313,2026-07-10,BILLING,Incorrect bill amount,CRITICAL,IN_PROGRESS
CP000118,C000510,2026-07-09,NETWORK,Poor network coverage,LOW,CLOSED
CP000119,C000192,2025-10-20,RECHARGE,Recharge failed,MEDIUM,IN_PROGRESS
CP000120,C000581,2026-06-10,NETWORK,Poor network coverage,CRITICAL,OPEN
CP000121,C000102,2026-06-20,PLAN,Plan activation issue,HIGH,CLOSED
CP000122,C000536,2026-09-09,OTHER,General complaint,MEDIUM,OPEN
CP000123,C000154,2026-06-05,BILLING,Incorrect bill amount,MEDIUM,CLOSED
CP000124,C000462,2025-10-04,BILLING,Billing issue,CRITICAL,CLOSED
CP000125,C000355,2025-11-03,NETWORK,Slow internet,CRITICAL,CLOSED
CP000126,C000152,2026-05-09,OTHER,Service related issue,HIGH,CLOSED
CP000127,C000455,2026-06-13,RECHARGE,Recharge amount not reflected,MEDIUM,IN_PROGRESS
CP000128,C000528,2026-05-05,NETWORK,Slow internet,MEDIUM,CLOSED
CP000129,C000054,2026-08-19,PLAN,Plan related query,CRITICAL,IN_PROGRESS
CP000130,C000807,2025-10-09,NETWORK,Network issue,LOW,RESOLVED
CP000131,C000815,2026-05-31,OTHER,Service related issue,LOW,OPEN
CP000132,C000279,2026-03-15,SIM,SIM activation issue,MEDIUM,IN_PROGRESS
CP000133,C000559,2025-11-14,OTHER,Other issue,LOW,IN_PROGRESS
CP000134,C000366,2025-12-22,PLAN,Plan related query,CRITICAL,OPEN
CP000135,C000009,2026-07-03,SIM,SIM not working,MEDIUM,RESOLVED
CP000136,C000533,2026-07-04,RECHARGE,Recharge amount not reflected,CRITICAL,OPEN
CP000137,C000778,2025-11-19,PLAN,Plan activation issue,LOW,IN_PROGRESS
CP000138,C000141,2026-04-06,NETWORK,Internet not working,HIGH,IN_PROGRESS
CP000139,C000956,2026-05-22,RECHARGE,Recharge issue,MEDIUM,CLOSED
CP000140,C000734,2025-11-02,RECHARGE,Recharge amount not reflected,MEDIUM,OPEN
CP000141,C000309,2026-05-31,OTHER,General complaint,HIGH,CLOSED
CP000142,C000302,2025-10-31,BILLING,Incorrect bill amount,MEDIUM,RESOLVED
CP000143,C000896,2026-04-20,RECHARGE,Recharge amount not reflected,LOW,RESOLVED
CP000144,C000737,2026-09-19,OTHER,Other issue,CRITICAL,OPEN
CP000145,C000225,2026-02-19,PLAN,Plan activation issue,LOW,OPEN
CP000146,C000559,2026-02-18,PLAN,Plan related query,HIGH,CLOSED
